{'name': 'systemd', 'ppid': 0, 'pid': 1, 'username': 'root', 'status': 'sleeping'}
{'name': 'kthreadd', 'ppid': 0, 'pid': 2, 'username': 'root', 'status': 'sleeping'}
{'name': 'pool_workqueue_release', 'ppid': 2, 'pid': 3, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-rcu_g', 'ppid': 2, 'pid': 4, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-rcu_p', 'ppid': 2, 'pid': 5, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-slub_', 'ppid': 2, 'pid': 6, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-netns', 'ppid': 2, 'pid': 7, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/0:0H-events_highpri', 'ppid': 2, 'pid': 9, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/0:1-events', 'ppid': 2, 'pid': 10, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-mm_pe', 'ppid': 2, 'pid': 12, 'username': 'root', 'status': 'idle'}
{'name': 'rcu_tasks_kthread', 'ppid': 2, 'pid': 13, 'username': 'root', 'status': 'idle'}
{'name': 'rcu_tasks_rude_kthread', 'ppid': 2, 'pid': 14, 'username': 'root', 'status': 'idle'}
{'name': 'rcu_tasks_trace_kthread', 'ppid': 2, 'pid': 15, 'username': 'root', 'status': 'idle'}
{'name': 'ksoftirqd/0', 'ppid': 2, 'pid': 16, 'username': 'root', 'status': 'sleeping'}
{'name': 'rcu_preempt', 'ppid': 2, 'pid': 17, 'username': 'root', 'status': 'idle'}
{'name': 'migration/0', 'ppid': 2, 'pid': 18, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/0', 'ppid': 2, 'pid': 19, 'username': 'root', 'status': 'sleeping'}
{'name': 'cpuhp/0', 'ppid': 2, 'pid': 20, 'username': 'root', 'status': 'sleeping'}
{'name': 'cpuhp/2', 'ppid': 2, 'pid': 21, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/2', 'ppid': 2, 'pid': 22, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/2', 'ppid': 2, 'pid': 23, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/2', 'ppid': 2, 'pid': 24, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/2:0H-events_highpri', 'ppid': 2, 'pid': 26, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/4', 'ppid': 2, 'pid': 27, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/4', 'ppid': 2, 'pid': 28, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/4', 'ppid': 2, 'pid': 29, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/4', 'ppid': 2, 'pid': 30, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/4:0-events', 'ppid': 2, 'pid': 31, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/4:0H-events_highpri', 'ppid': 2, 'pid': 32, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/5', 'ppid': 2, 'pid': 33, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/5', 'ppid': 2, 'pid': 34, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/5', 'ppid': 2, 'pid': 35, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/5', 'ppid': 2, 'pid': 36, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/5:0-events', 'ppid': 2, 'pid': 37, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/5:0H-kblockd', 'ppid': 2, 'pid': 38, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/6', 'ppid': 2, 'pid': 39, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/6', 'ppid': 2, 'pid': 40, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/6', 'ppid': 2, 'pid': 41, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/6', 'ppid': 2, 'pid': 42, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/6:0H-events_highpri', 'ppid': 2, 'pid': 44, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/7', 'ppid': 2, 'pid': 45, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/7', 'ppid': 2, 'pid': 46, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/7', 'ppid': 2, 'pid': 47, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/7', 'ppid': 2, 'pid': 48, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/7:0H-events_highpri', 'ppid': 2, 'pid': 50, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/8', 'ppid': 2, 'pid': 51, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/8', 'ppid': 2, 'pid': 52, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/8', 'ppid': 2, 'pid': 53, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/8', 'ppid': 2, 'pid': 54, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/8:0H-events_highpri', 'ppid': 2, 'pid': 56, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/9', 'ppid': 2, 'pid': 57, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/9', 'ppid': 2, 'pid': 58, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/9', 'ppid': 2, 'pid': 59, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/9', 'ppid': 2, 'pid': 60, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/9:0H-events_highpri', 'ppid': 2, 'pid': 62, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/10', 'ppid': 2, 'pid': 63, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/10', 'ppid': 2, 'pid': 64, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/10', 'ppid': 2, 'pid': 65, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/10', 'ppid': 2, 'pid': 66, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/10:0H-events_highpri', 'ppid': 2, 'pid': 68, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/11', 'ppid': 2, 'pid': 69, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/11', 'ppid': 2, 'pid': 70, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/11', 'ppid': 2, 'pid': 71, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/11', 'ppid': 2, 'pid': 72, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/11:0H-events_highpri', 'ppid': 2, 'pid': 74, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/1', 'ppid': 2, 'pid': 75, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/1', 'ppid': 2, 'pid': 76, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/1', 'ppid': 2, 'pid': 77, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/1', 'ppid': 2, 'pid': 78, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/1:0H-events_highpri', 'ppid': 2, 'pid': 80, 'username': 'root', 'status': 'idle'}
{'name': 'cpuhp/3', 'ppid': 2, 'pid': 81, 'username': 'root', 'status': 'sleeping'}
{'name': 'idle_inject/3', 'ppid': 2, 'pid': 82, 'username': 'root', 'status': 'sleeping'}
{'name': 'migration/3', 'ppid': 2, 'pid': 83, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksoftirqd/3', 'ppid': 2, 'pid': 84, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/3:0H-events_highpri', 'ppid': 2, 'pid': 86, 'username': 'root', 'status': 'idle'}
{'name': 'kdevtmpfs', 'ppid': 2, 'pid': 87, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-inet_', 'ppid': 2, 'pid': 88, 'username': 'root', 'status': 'idle'}
{'name': 'kauditd', 'ppid': 2, 'pid': 90, 'username': 'root', 'status': 'sleeping'}
{'name': 'khungtaskd', 'ppid': 2, 'pid': 91, 'username': 'root', 'status': 'sleeping'}
{'name': 'oom_reaper', 'ppid': 2, 'pid': 92, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-write', 'ppid': 2, 'pid': 94, 'username': 'root', 'status': 'idle'}
{'name': 'kcompactd0', 'ppid': 2, 'pid': 95, 'username': 'root', 'status': 'sleeping'}
{'name': 'ksmd', 'ppid': 2, 'pid': 96, 'username': 'root', 'status': 'sleeping'}
{'name': 'khugepaged', 'ppid': 2, 'pid': 97, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-kinte', 'ppid': 2, 'pid': 98, 'username': 'root', 'status': 'idle'}
